GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
teamproject,dev.teamproject.timeslot,TimeSlotController,0,69,0,0,0,19,0,9,0,9
teamproject,dev.teamproject.timeslot,TimeSlotService,6,107,0,2,0,25,1,10,1,9
teamproject,dev.teamproject.timeslot,TimeSlot,2,112,2,6,1,35,2,19,0,17
teamproject,dev.teamproject,ProjectApplication,8,0,0,0,3,0,2,0,2,0
teamproject,dev.teamproject.common,CommonTypes,3,0,0,0,1,0,1,0,1,0
teamproject,dev.teamproject.common,CommonTypes.MeetingStatus,0,15,0,0,0,3,0,1,0,1
teamproject,dev.teamproject.common,CommonTypes.Role,0,15,0,0,0,3,0,1,0,1
teamproject,dev.teamproject.common,CommonTypes.Day,0,45,0,0,0,2,0,1,0,1
teamproject,dev.teamproject.common,CommonTypes.ParticipantStatus,0,21,0,0,0,4,0,1,0,1
teamproject,dev.teamproject.common,CommonTypes.MeetingType,0,15,0,0,0,3,0,1,0,1
teamproject,dev.teamproject.common,CommonTypes.Recurrence,0,27,0,0,0,5,0,1,0,1
teamproject,dev.teamproject.common,CommonTypes.RequestStatus,0,21,0,0,0,2,0,1,0,1
teamproject,dev.teamproject.common,CommonTypes.Availability,0,15,0,0,0,2,0,1,0,1
teamproject,dev.teamproject.apiResponse,GenericApiResponse,33,0,0,0,14,0,7,0,7,0
teamproject,dev.teamproject.meeting,MeetingService,69,53,9,1,18,13,6,8,1,8
teamproject,dev.teamproject.meeting,MeetingDTO,45,0,0,0,19,0,13,0,13,0
teamproject,dev.teamproject.meeting,MeetingController,70,0,0,0,18,0,9,0,9,0
teamproject,dev.teamproject.meeting,Meeting,0,80,0,0,0,34,0,23,0,23
teamproject,dev.teamproject.participant,Participant,3,65,0,0,2,26,1,13,1,13
teamproject,dev.teamproject.participant,ParticipantController,47,0,0,0,13,0,9,0,9,0
teamproject,dev.teamproject.participant,ParticipantService,18,41,2,0,4,11,2,8,1,8
teamproject,dev.teamproject.exceptionHandler,IllegalArgumentException,4,0,0,0,2,0,1,0,1,0
teamproject,dev.teamproject.exceptionHandler,GenericExceptionHandler,45,0,0,0,7,0,4,0,4,0
teamproject,dev.teamproject.exceptionHandler,UserNotFoundException,4,0,0,0,2,0,1,0,1,0
teamproject,dev.teamproject.request,Request,10,125,11,11,1,33,9,15,0,13
teamproject,dev.teamproject.request,RequestController,4,73,1,3,1,19,1,8,0,7
teamproject,dev.teamproject.request,RequestId,2,68,2,6,1,18,2,10,0,8
teamproject,dev.teamproject.request,RequestService,15,186,6,8,3,42,6,9,0,8
teamproject,dev.teamproject.user,User,0,39,0,0,0,14,0,8,0,8
teamproject,dev.teamproject.user,UserController,0,30,0,0,0,9,0,6,0,6
teamproject,dev.teamproject.user,UserService,6,36,0,0,0,11,1,6,1,6
